tweets,time,mem,cols
9431,1.8250126838684082,173422761,14167
19234,1.4457578659057617,174927823,24770
41015,1.558257818222046,177996060,43207
79139,1.6756799221038818,182804032,67165
161137,1.896519422531128,193177832,115088
324798,2.0610365867614746,212944549,192421
657700,3.018806219100952,251673505,323737
1309538,3.079918146133423,324415757,530610
