tweets,time,mem,cols
9431,1.1768717765808105,109086904, 21542
19234,1.1631453037261963,111039428, 36625
41015,1.7065331935882568,114920345, 61741
79139,1.4414496421813965,120887651, 93206
161137,1.9255669116973877,133653645, 154286
324798,2.033914804458618,157807320, 251710
657700,2.8360273838043213,204870916, 415799
1309538,3.450031280517578,292974940, 674244
