tweets,time,mem,cols
9431,1.8186557292938232,173422056, 14167
19234,1.385756015777588,174927014, 24770
41015,1.4379353523254395,177995455, 43207
79139,1.7483582496643066,182803427, 67165
161137,1.7812881469726562,193177125, 115088
324798,1.790863037109375,212943742, 192421
657700,2.8875460624694824,251672800, 323737
1309538,3.730307102203369,324415152, 530610
