tweets,time,mem,cols
9431,1.5715951919555664,172854347,120
19234,2.0779247283935547,173973962,337
41015,1.6757619380950928,176455939,774
79139,1.7709181308746338,180577225,1336
161137,1.9996771812438965,189646800,2206
324798,2.1811602115631104,207390431,3485
657700,2.36466908454895,242667843,5307
