tweets,time,mem
9431,18.6927433013916,174973694
19234,27.930742740631104,178411252
41015,47.65916562080383,185934989
79139,91.01392006874084,198687461
161137,174.55884408950806,226722571
324798,338.05576038360596,282997124
657700,676.6518263816833,397181578
1309538,1338.14594912529,620106674
2630811,2797.7653148174286,1073801735
